Tiêu đề,Nguyên liệu,Sơ chế,Thực hiện,Cách dùng,Mách nhỏ,Thực đơn,Lời khuyên,Tên món ăn,Carbohydrate,Calories,Protein,Sugar,Fiber dietary,Vitamin C,Vitamin D,Vitamin B12,Calcium,Iron,Cholesterol,Phosphorous,Folic acid,Saturated fat,Potassium,Sodium,Tiêu đề_lower,Nguyên liệu_lower,Sơ chế_lower,Thực hiện_lower,Cách dùng_lower,Mách nhỏ_lower,Thực đơn_lower,Tên món ăn_lower
Sụn heo xào thơm,"Dẻ sụn heo  200g, Thơm  1/4 quả, Nấm đùi gà  150g (1 cây), Cà chua  1 quả, Húng quế 20g, Hành tỏi băm 2M, Gia vị: đường, tiêu, dầu hào, dầu ăn, Nước tương ""Phú Sĩ"", Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Dẻ sụn heo  200g, Thơm  1/4 quả, Nấm đùi gà  150g (1 cây), Cà chua  1 quả, Húng quế 20g, Hành tỏi băm 2M, Gia vị: đường, tiêu, dầu hào, dầu ăn, Nước tương ""Phú Sĩ"", Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo",,,,"Ướp sụn với thơm băm giúp sụn mềm hơn.Chọn rẻo sụn của dẻ sườn non là phần sụn ngon, không bị cứng.",,,,,,,,,,,,,,,,,,,,sụn heo xào thơm,"dẻ sụn heo  200g, thơm  1/4 quả, nấm đùi gà  150g (1 cây), cà chua  1 quả, húng quế 20g, hành tỏi băm 2m, gia vị: đường, tiêu, dầu hào, dầu ăn, nước tương ""phú sĩ"", bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo, dẻ sụn heo  200g, thơm  1/4 quả, nấm đùi gà  150g (1 cây), cà chua  1 quả, húng quế 20g, hành tỏi băm 2m, gia vị: đường, tiêu, dầu hào, dầu ăn, nước tương ""phú sĩ"", bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo",nan,nan,nan,"ướp sụn với thơm băm giúp sụn mềm hơn.chọn rẻo sụn của dẻ sườn non là phần sụn ngon, không bị cứng.",nan,nan
Bún thang,"Xương bọng gà         1 cái, Gà ta	 1/2 con 600g, Tôm khô rang 	12g, Nấm hương 	 50g (rửa sạch, không ngâm), Trứng vịt	 1  quả (50g), Lòng đỏ trứng muối luộc 	 1 cái (8g, luộc chín), Chà bông tôm	 15g, Nước bột năng	 1m (4g), Hành tím củ, gừng tươi	(Đập dập, nướng thơm), Nước dùng gà, Hạt nêm Aji-ngon® Gà	 2m (8g ), Muối hột	1m (2g), Bột ngọt AJI-NO-MOTO® 1m (4g), Đường phèn	1.5m (8g), Nước mắm	1.5M (12g ), Bún 	 600g, RAU NÊM:	Hành lá, rau răm, chanh, ớt, ĂN KÈM	Bún tươi, mắm tôm, GIA VỊ:	Muối, đường phèn, tiêu, dầu ăn, rượu trắng, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Gà, Xương bọng gà         1 cái, Gà ta	 1/2 con 600g, Tôm khô rang 	12g, Nấm hương 	 50g (rửa sạch, không ngâm), Trứng vịt	 1  quả (50g), Lòng đỏ trứng muối luộc 	 1 cái (8g, luộc chín), Chà bông tôm	 15g, Nước bột năng	 1m (4g), Hành tím củ, gừng tươi	(Đập dập, nướng thơm), Nước dùng gà, Hạt nêm Aji-ngon® Gà	 2m (8g ), Muối hột	1m (2g), Bột ngọt AJI-NO-MOTO® 1m (4g), Đường phèn	1.5m (8g), Nước mắm	1.5M (12g ), Bún 	 600g, RAU NÊM:	Hành lá, rau răm, chanh, ớt, ĂN KÈM	Bún tươi, mắm tôm, GIA VỊ:	Muối, đường phèn, tiêu, dầu ăn, rượu trắng, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Gà",,"Nước dùng, nêm 1/2m muối, 1/2m bột ngọt AJI-NO-MOTO®, 1.5m đường phèn, 1.5M nước mắm, 2m hạt nêm Aji-ngon® Gà, nếm vị vừa ăn.","Trụng bún vào nước sôi, cho vào tô, xếp chả lụa, trứng chiên, thịt gà xung quanh tô, trên cùng cho chà bông tôm và trứng vịt muối, sau đó cho nước dùng vào dùng nóng. Ăn kèm chanh ớt, mắm tôm. 🍽️ Ăn sáng:Ăn kèm tráng miệng Yaourt, Cafe đá","Dùng muối hột và đường phèn để nước dùng có vị mặn ngọt thanh.Hòa trứng với rượu và nước bột năng để trứng mỏng, dai và không tanh.Dùng hạt nêm Aji-ngon(R) Gà để tăng hương vị gà đặc trưng.","THỰC ĐƠN GIÚP HOẠT ĐỘNG TRÍ NÃO HIỆU QUẢ
1900 kcal. G:P:L=60:15:25
BỮA ĂN | NĂNG LƯỢNG | MÓN ĂN | KHẨU PHẦN CỦA 1 NGƯỜI
Sáng | 600 | Bún thang (450kcal)
Tráng miệng: Bưởi | 2 múi bưởi (200g)
Cà phê đá | 1 ly với 2 muỗng cà phê đường
Trưa | 600 | Cơm | 1 chén rưỡi – 2 chén (200g)
Canh mướp hương thịt viên | 1/2 phần canh
Tôm xào bông cải | 2/3 phần xào
Cá he kho rệu | 1/3 lượng cá (100gr)
Tráng miệng: Chuối | 1 quả chuối (100g)
Phụ | 250 | Bánh flan | 1 cái
Tối | 450 | Hủ tiếu xào cật heo | 1 phần
Tráng miệng:Bánh rán hương mùa hè | 1/2 phần bánh rán",,Bún thang,32.5,212.5,16.25,3.75,1.25,1.25,0.25,0.375,20.0,1.25,62.5,125.0,5.0,3.75,150.0,375.0,bún thang,"xương bọng gà         1 cái, gà ta	 1/2 con 600g, tôm khô rang 	12g, nấm hương 	 50g (rửa sạch, không ngâm), trứng vịt	 1  quả (50g), lòng đỏ trứng muối luộc 	 1 cái (8g, luộc chín), chà bông tôm	 15g, nước bột năng	 1m (4g), hành tím củ, gừng tươi	(đập dập, nướng thơm), nước dùng gà, hạt nêm aji-ngon® gà	 2m (8g ), muối hột	1m (2g), bột ngọt aji-no-moto® 1m (4g), đường phèn	1.5m (8g), nước mắm	1.5m (12g ), bún 	 600g, rau nêm:	hành lá, rau răm, chanh, ớt, ăn kèm	bún tươi, mắm tôm, gia vị:	muối, đường phèn, tiêu, dầu ăn, rượu trắng, bột ngọt aji-no-moto®, hạt nêm aji-ngon® gà, xương bọng gà         1 cái, gà ta	 1/2 con 600g, tôm khô rang 	12g, nấm hương 	 50g (rửa sạch, không ngâm), trứng vịt	 1  quả (50g), lòng đỏ trứng muối luộc 	 1 cái (8g, luộc chín), chà bông tôm	 15g, nước bột năng	 1m (4g), hành tím củ, gừng tươi	(đập dập, nướng thơm), nước dùng gà, hạt nêm aji-ngon® gà	 2m (8g ), muối hột	1m (2g), bột ngọt aji-no-moto® 1m (4g), đường phèn	1.5m (8g), nước mắm	1.5m (12g ), bún 	 600g, rau nêm:	hành lá, rau răm, chanh, ớt, ăn kèm	bún tươi, mắm tôm, gia vị:	muối, đường phèn, tiêu, dầu ăn, rượu trắng, bột ngọt aji-no-moto®, hạt nêm aji-ngon® gà",nan,"nước dùng, nêm 1/2m muối, 1/2m bột ngọt aji-no-moto®, 1.5m đường phèn, 1.5m nước mắm, 2m hạt nêm aji-ngon® gà, nếm vị vừa ăn.","trụng bún vào nước sôi, cho vào tô, xếp chả lụa, trứng chiên, thịt gà xung quanh tô, trên cùng cho chà bông tôm và trứng vịt muối, sau đó cho nước dùng vào dùng nóng. ăn kèm chanh ớt, mắm tôm. 🍽️ ăn sáng:ăn kèm tráng miệng yaourt, cafe đá","dùng muối hột và đường phèn để nước dùng có vị mặn ngọt thanh.hòa trứng với rượu và nước bột năng để trứng mỏng, dai và không tanh.dùng hạt nêm aji-ngon(r) gà để tăng hương vị gà đặc trưng.","thực đơn giúp hoạt động trí não hiệu quả
1900 kcal. g:p:l=60:15:25
bữa ăn | năng lượng | món ăn | khẩu phần của 1 người
sáng | 600 | bún thang (450kcal)
tráng miệng: bưởi | 2 múi bưởi (200g)
cà phê đá | 1 ly với 2 muỗng cà phê đường
trưa | 600 | cơm | 1 chén rưỡi – 2 chén (200g)
canh mướp hương thịt viên | 1/2 phần canh
tôm xào bông cải | 2/3 phần xào
cá he kho rệu | 1/3 lượng cá (100gr)
tráng miệng: chuối | 1 quả chuối (100g)
phụ | 250 | bánh flan | 1 cái
tối | 450 | hủ tiếu xào cật heo | 1 phần
tráng miệng:bánh rán hương mùa hè | 1/2 phần bánh rán",bún thang
Đậu bắp xào hải sản,"Mực ống: 100g, Tôm đất: 100g, Đậu bắp non: 100g, Ớt chuông vàng, đỏ: 100g, Ớt sừng: 1 trái, Tỏi lột vỏ: 50g, RAU NÊM: hành cần cắt khúc, Gia vị: đường, tiêu, rượu trắng, bột năng, dầu ăn, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Gà, Mực ống: 100g, Tôm đất: 100g, Đậu bắp non: 100g, Ớt chuông vàng, đỏ: 100g, Ớt sừng: 1 trái, Tỏi lột vỏ: 50g, RAU NÊM: hành cần cắt khúc, Gia vị: đường, tiêu, rượu trắng, bột năng, dầu ăn, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Gà",,"Xào hải sản:phi thơm tỏi đập dập với 2M dầu ăn, cho tôm, mực và 1M rượu trắng vào xóc đều cho hải sản săn lại, cho đậu bắp xào chung, thêm ớt chuông vào, nêm 1/2m đường, 1m Hạt nêm Aji-ngon® (Gà), 1/2m tiêu, 1/2m Bột ngọt AJI-NO-MOTO®, 2m Nước tương “Phú Sĩ” và nửa chén nước, xào với lửa lớn đến khi rau củ vừa chín tới, cho 2M nước bột năng vào để tạo độ sánh cho món ăn, thêm hành cần cắt khúc và ớt sừng vào xóc đều rồi tắt lửa.","Cho đậu bắp xào hải sản ra dĩa, trang trí thêm ngò rí.",Đậu bắp xào trước với hải sản giúp cho đậu bắp chín đều cùng với các nguyên liệu.Sử dụng Hạt nêm Aji-ngon® (Gà) giúp món ăn thêm đậm đà hơn.,,,Đậu bắp xào hải sản,3.75,62.5,8.75,1.75,1.25,22.5,0.125,0.375,20.0,0.75,50.0,75.0,12.5,0.5,100.0,150.0,đậu bắp xào hải sản,"mực ống: 100g, tôm đất: 100g, đậu bắp non: 100g, ớt chuông vàng, đỏ: 100g, ớt sừng: 1 trái, tỏi lột vỏ: 50g, rau nêm: hành cần cắt khúc, gia vị: đường, tiêu, rượu trắng, bột năng, dầu ăn, bột ngọt aji-no-moto®, nước tương ""phú sĩ"", hạt nêm aji-ngon® gà, mực ống: 100g, tôm đất: 100g, đậu bắp non: 100g, ớt chuông vàng, đỏ: 100g, ớt sừng: 1 trái, tỏi lột vỏ: 50g, rau nêm: hành cần cắt khúc, gia vị: đường, tiêu, rượu trắng, bột năng, dầu ăn, bột ngọt aji-no-moto®, nước tương ""phú sĩ"", hạt nêm aji-ngon® gà",nan,"xào hải sản:phi thơm tỏi đập dập với 2m dầu ăn, cho tôm, mực và 1m rượu trắng vào xóc đều cho hải sản săn lại, cho đậu bắp xào chung, thêm ớt chuông vào, nêm 1/2m đường, 1m hạt nêm aji-ngon® (gà), 1/2m tiêu, 1/2m bột ngọt aji-no-moto®, 2m nước tương “phú sĩ” và nửa chén nước, xào với lửa lớn đến khi rau củ vừa chín tới, cho 2m nước bột năng vào để tạo độ sánh cho món ăn, thêm hành cần cắt khúc và ớt sừng vào xóc đều rồi tắt lửa.","cho đậu bắp xào hải sản ra dĩa, trang trí thêm ngò rí.",đậu bắp xào trước với hải sản giúp cho đậu bắp chín đều cùng với các nguyên liệu.sử dụng hạt nêm aji-ngon® (gà) giúp món ăn thêm đậm đà hơn.,nan,đậu bắp xào hải sản
Canh cá lóc lá giang,"Cá lóc cắt khoanh          600g, Lá giang làm sạch          50g, Cà chua                          2 trái, Tỏi băm                         1M, Tỏi phi                           1M, Sả bằm nhuyễn               2M, Ớt bằm nhuyễn               1M, Rau om, ngò gai, Muối, đường, nước mắm, dầu ăn, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Cá lóc cắt khoanh          600g, Lá giang làm sạch          50g, Cà chua                          2 trái, Tỏi băm                         1M, Tỏi phi                           1M, Sả bằm nhuyễn               2M, Ớt bằm nhuyễn               1M, Rau om, ngò gai, Muối, đường, nước mắm, dầu ăn, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto""",,,,Ướp cá với nước mắm & bột ngọt để cá thấm gia vị đậm đà khi ăn.Xóc nhanh cá trước khi nấu để cá thơm và không bị nát.,,,Canh cá lóc lá giang,3.75,162.5,20.0,2.0,0.75,6.25,0.0,0.25,20.0,0.5,45.0,175.0,5.0,2.0,200.0,150.0,canh cá lóc lá giang,"cá lóc cắt khoanh          600g, lá giang làm sạch          50g, cà chua                          2 trái, tỏi băm                         1m, tỏi phi                           1m, sả bằm nhuyễn               2m, ớt bằm nhuyễn               1m, rau om, ngò gai, muối, đường, nước mắm, dầu ăn, bột ngọt aji-no-moto®, giấm gạo lên men ""ajinomoto"", cá lóc cắt khoanh          600g, lá giang làm sạch          50g, cà chua                          2 trái, tỏi băm                         1m, tỏi phi                           1m, sả bằm nhuyễn               2m, ớt bằm nhuyễn               1m, rau om, ngò gai, muối, đường, nước mắm, dầu ăn, bột ngọt aji-no-moto®, giấm gạo lên men ""ajinomoto""",nan,nan,nan,ướp cá với nước mắm & bột ngọt để cá thấm gia vị đậm đà khi ăn.xóc nhanh cá trước khi nấu để cá thơm và không bị nát.,nan,canh cá lóc lá giang
Gỏi mực bắp cải,"Mực tươi: 250g, Bắp cải tím: 300g, Húng quế: 30g, Hành tây:1/2 củ, Cà rốt: 1/2 củ, Ớt băm: 1M, Mè rang: 1M, Muối, đường, nước mắm, dầu mè, Giấm gạo lên men ""Ajinomoto"", Nước tương ""Phú Sĩ"", Mực tươi: 250g, Bắp cải tím: 300g, Húng quế: 30g, Hành tây:1/2 củ, Cà rốt: 1/2 củ, Ớt băm: 1M, Mè rang: 1M, Muối, đường, nước mắm, dầu mè, Giấm gạo lên men ""Ajinomoto"", Nước tương ""Phú Sĩ""",,,,Trộn với ít đường sẽ giúp các nguyên liệu bớt mùi hăng và giữ được độ giòn.Không nên cắt húng quế quá sớm sẽ làm mất mùi thơm.,,,Gỏi mực bắp cải,,,,,,,,,,,,,,,,,gỏi mực bắp cải,"mực tươi: 250g, bắp cải tím: 300g, húng quế: 30g, hành tây:1/2 củ, cà rốt: 1/2 củ, ớt băm: 1m, mè rang: 1m, muối, đường, nước mắm, dầu mè, giấm gạo lên men ""ajinomoto"", nước tương ""phú sĩ"", mực tươi: 250g, bắp cải tím: 300g, húng quế: 30g, hành tây:1/2 củ, cà rốt: 1/2 củ, ớt băm: 1m, mè rang: 1m, muối, đường, nước mắm, dầu mè, giấm gạo lên men ""ajinomoto"", nước tương ""phú sĩ""",nan,nan,nan,trộn với ít đường sẽ giúp các nguyên liệu bớt mùi hăng và giữ được độ giòn.không nên cắt húng quế quá sớm sẽ làm mất mùi thơm.,nan,gỏi mực bắp cải
Khổ qua xào chả cá,"Khổ qua:  200g, Chả cá thác lác:    100g, Ớt sừng:   1 trái, Hành lá :   2 cây, Lá quế:   2 cây, Tỏi băm:    1M, RAU NÊM: ngò cắt khúc, ĂN KÈM: cơm trắng, Gia vị: dầu ăn, tiêu, đường, Nước tương ""Phú Sĩ"", Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Khổ qua:  200g, Chả cá thác lác:    100g, Ớt sừng:   1 trái, Hành lá :   2 cây, Lá quế:   2 cây, Tỏi băm:    1M, RAU NÊM: ngò cắt khúc, ĂN KÈM: cơm trắng, Gia vị: dầu ăn, tiêu, đường, Nước tương ""Phú Sĩ"", Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo",,,,Chiên áp chảo chả cá để giúp tăng mùi thơm chả cá cũng như tăng độ hấp dẫn của món ăn.Pha sẵn xốt trước khi xào để gia vị được hòa quyện hơn.Khổ qua xào nhanh giúp giữ được độ giòn và giảm được vị đắng đặc trưng.,,,,,,,,,,,,,,,,,,,,khổ qua xào chả cá,"khổ qua:  200g, chả cá thác lác:    100g, ớt sừng:   1 trái, hành lá :   2 cây, lá quế:   2 cây, tỏi băm:    1m, rau nêm: ngò cắt khúc, ăn kèm: cơm trắng, gia vị: dầu ăn, tiêu, đường, nước tương ""phú sĩ"", bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo, khổ qua:  200g, chả cá thác lác:    100g, ớt sừng:   1 trái, hành lá :   2 cây, lá quế:   2 cây, tỏi băm:    1m, rau nêm: ngò cắt khúc, ăn kèm: cơm trắng, gia vị: dầu ăn, tiêu, đường, nước tương ""phú sĩ"", bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo",nan,nan,nan,chiên áp chảo chả cá để giúp tăng mùi thơm chả cá cũng như tăng độ hấp dẫn của món ăn.pha sẵn xốt trước khi xào để gia vị được hòa quyện hơn.khổ qua xào nhanh giúp giữ được độ giòn và giảm được vị đắng đặc trưng.,nan,nan
Cá nướng xốt Mayo khoai tây,"Cá bớp fillet   250g, Khoai tây   2 củ, Sữa tươi có đường  3M, Nước cốt chanh  1M, Ớt khô    1m, Gừng băm, Lá oregano khô, ớt bột paprika, Muối, đường, nước mắm, rượu trắng, dầu điều, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Cá bớp fillet   250g, Khoai tây   2 củ, Sữa tươi có đường  3M, Nước cốt chanh  1M, Ớt khô    1m, Gừng băm, Lá oregano khô, ớt bột paprika, Muối, đường, nước mắm, rượu trắng, dầu điều, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,"Lấy cá ra khỏi lò, rắc ớt bột paprika lên trên, dùng nóng.",Ướp cá với sốt nướng để tăng thêm độ béo cho cá và làm cá không bị khô.Ướp lá oregano vào cá trước khi nướng để tạo mùi thơm đặc trưng.,,,Cá nướng xốt Mayo khoai tây,8.75,137.5,10.0,2.5,1.0,5.0,0.125,0.375,37.5,0.5,20.0,100.0,6.25,2.0,175.0,150.0,cá nướng xốt mayo khoai tây,"cá bớp fillet   250g, khoai tây   2 củ, sữa tươi có đường  3m, nước cốt chanh  1m, ớt khô    1m, gừng băm, lá oregano khô, ớt bột paprika, muối, đường, nước mắm, rượu trắng, dầu điều, dầu ăn, bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo, xốt mayonnaise aji-mayo® vị nguyên bản, cá bớp fillet   250g, khoai tây   2 củ, sữa tươi có đường  3m, nước cốt chanh  1m, ớt khô    1m, gừng băm, lá oregano khô, ớt bột paprika, muối, đường, nước mắm, rượu trắng, dầu điều, dầu ăn, bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo, xốt mayonnaise aji-mayo® vị nguyên bản",nan,nan,"lấy cá ra khỏi lò, rắc ớt bột paprika lên trên, dùng nóng.",ướp cá với sốt nướng để tăng thêm độ béo cho cá và làm cá không bị khô.ướp lá oregano vào cá trước khi nướng để tạo mùi thơm đặc trưng.,nan,cá nướng xốt mayo khoai tây
Gỏi bưởi,"Bưởi: 1 trái, Mực khô: 1 con (50g), Thịt ba chỉ: 100g, Tôm tươi: 100g, Cà rốt: 100g, Rau răm, hành tím, Mè trắng, ớt sừng, Bánh phồng tôm, Tỏi, ớt băm, Đường, muối, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Bưởi: 1 trái, Mực khô: 1 con (50g), Thịt ba chỉ: 100g, Tôm tươi: 100g, Cà rốt: 100g, Rau răm, hành tím, Mè trắng, ớt sừng, Bánh phồng tôm, Tỏi, ớt băm, Đường, muối, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto""",,"Trộn đều cà rốt, thịt, tôm, bưởi, rau răm, mè với nước trộn.","Bày gỏi ra dĩa, rải mực, hành phi, rau răm, mè và ớt sợi lên trên. Ăn kèm bánh phồng tôm.",Chọn bưởi chưa chín hẳn sẽ có vị chua và giòn.Nên chiên khô mực xé nhỏ với lửa vừa để khô mực giòn mà không bị cháy và đắng.,,,Gỏi bưởi,,,,,,,,,,,,,,,,,gỏi bưởi,"bưởi: 1 trái, mực khô: 1 con (50g), thịt ba chỉ: 100g, tôm tươi: 100g, cà rốt: 100g, rau răm, hành tím, mè trắng, ớt sừng, bánh phồng tôm, tỏi, ớt băm, đường, muối, dầu ăn, hạt nêm aji-ngon® heo, bột ngọt aji-no-moto®, giấm gạo lên men ""ajinomoto"", bưởi: 1 trái, mực khô: 1 con (50g), thịt ba chỉ: 100g, tôm tươi: 100g, cà rốt: 100g, rau răm, hành tím, mè trắng, ớt sừng, bánh phồng tôm, tỏi, ớt băm, đường, muối, dầu ăn, hạt nêm aji-ngon® heo, bột ngọt aji-no-moto®, giấm gạo lên men ""ajinomoto""",nan,"trộn đều cà rốt, thịt, tôm, bưởi, rau răm, mè với nước trộn.","bày gỏi ra dĩa, rải mực, hành phi, rau răm, mè và ớt sợi lên trên. ăn kèm bánh phồng tôm.",chọn bưởi chưa chín hẳn sẽ có vị chua và giòn.nên chiên khô mực xé nhỏ với lửa vừa để khô mực giòn mà không bị cháy và đắng.,nan,gỏi bưởi
Bánh há cảo hoa hồng,"Thịt nạc băm: 100g, Giò sống: 30g, Tôm tươi: 50g, Bột há cảo: 200g, Nấm mèo: 3 tai, Hành tím băm: 1m, Hành lá, ngò rí, ớt tỉa hoa, Lá chuối cắt tròn làm đế bánh Tiêu, tương ớt, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Thịt nạc băm: 100g, Giò sống: 30g, Tôm tươi: 50g, Bột há cảo: 200g, Nấm mèo: 3 tai, Hành tím băm: 1m, Hành lá, ngò rí, ớt tỉa hoa, Lá chuối cắt tròn làm đế bánh Tiêu, tương ớt, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®",,,,Khuấy bột trên lửa nhỏ để bột chín 50% sẽ dễ tạo hình. Khi bao nhân nhớ chừa phần bột dư bên trên đủ để tạo cánh hoa.,,,Bánh há cảo hoa hồng,,,,,,,,,,,,,,,,,bánh há cảo hoa hồng,"thịt nạc băm: 100g, giò sống: 30g, tôm tươi: 50g, bột há cảo: 200g, nấm mèo: 3 tai, hành tím băm: 1m, hành lá, ngò rí, ớt tỉa hoa, lá chuối cắt tròn làm đế bánh tiêu, tương ớt, dầu ăn, hạt nêm aji-ngon® heo, bột ngọt aji-no-moto®, thịt nạc băm: 100g, giò sống: 30g, tôm tươi: 50g, bột há cảo: 200g, nấm mèo: 3 tai, hành tím băm: 1m, hành lá, ngò rí, ớt tỉa hoa, lá chuối cắt tròn làm đế bánh tiêu, tương ớt, dầu ăn, hạt nêm aji-ngon® heo, bột ngọt aji-no-moto®",nan,nan,nan,khuấy bột trên lửa nhỏ để bột chín 50% sẽ dễ tạo hình. khi bao nhân nhớ chừa phần bột dư bên trên đủ để tạo cánh hoa.,nan,bánh há cảo hoa hồng
Gà rô ti,"Gà: 600gr, Dừa tươi: 1 trái, Đầu hành trắng: 4 cái, Hành tỏi băm: 2M, Đường, muối, ngũ vị hương, dầu ăn, dầu điều, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Gà: 600gr, Dừa tươi: 1 trái, Đầu hành trắng: 4 cái, Hành tỏi băm: 2M, Đường, muối, ngũ vị hương, dầu ăn, dầu điều, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ""",,,,Ướp gà đủ 20 – 30 phút để gà thấm gia vị.Xào săn gà rồi mới rim với nước dừa giúp gà rô ti ngon hơn.,,,Gà rô ti,3.75,300.0,25.0,2.5,0.5,1.25,0.0,0.25,12.5,1.25,75.0,200.0,3.75,5.0,150.0,200.0,gà rô ti,"gà: 600gr, dừa tươi: 1 trái, đầu hành trắng: 4 cái, hành tỏi băm: 2m, đường, muối, ngũ vị hương, dầu ăn, dầu điều, bột ngọt aji-no-moto®, nước tương ""phú sĩ"", gà: 600gr, dừa tươi: 1 trái, đầu hành trắng: 4 cái, hành tỏi băm: 2m, đường, muối, ngũ vị hương, dầu ăn, dầu điều, bột ngọt aji-no-moto®, nước tương ""phú sĩ""",nan,nan,nan,ướp gà đủ 20 – 30 phút để gà thấm gia vị.xào săn gà rồi mới rim với nước dừa giúp gà rô ti ngon hơn.,nan,gà rô ti
Khai vị cá hồi táo trộn,"Táo đỏ: 1 trái, Thơm: 1/4 trái, Cà chua: 1 quả, Phi lê cá hồi: 120g, Xà lách: 1 cây, Cần tây, ngò tây băm, thì là, chanh, Muối, tiêu giã bể, bột ớt, mù tạc xanh, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Táo đỏ: 1 trái, Thơm: 1/4 trái, Cà chua: 1 quả, Phi lê cá hồi: 120g, Xà lách: 1 cây, Cần tây, ngò tây băm, thì là, chanh, Muối, tiêu giã bể, bột ớt, mù tạc xanh, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,,Táo ngâm vào nước có pha nước cốt chanh để không bị đen.,,,Khai vị cá hồi táo trộn,,,,,,,,,,,,,,,,,khai vị cá hồi táo trộn,"táo đỏ: 1 trái, thơm: 1/4 trái, cà chua: 1 quả, phi lê cá hồi: 120g, xà lách: 1 cây, cần tây, ngò tây băm, thì là, chanh, muối, tiêu giã bể, bột ớt, mù tạc xanh, xốt mayonnaise aji-mayo® vị nguyên bản, táo đỏ: 1 trái, thơm: 1/4 trái, cà chua: 1 quả, phi lê cá hồi: 120g, xà lách: 1 cây, cần tây, ngò tây băm, thì là, chanh, muối, tiêu giã bể, bột ớt, mù tạc xanh, xốt mayonnaise aji-mayo® vị nguyên bản",nan,nan,nan,táo ngâm vào nước có pha nước cốt chanh để không bị đen.,nan,khai vị cá hồi táo trộn
