Tiêu đề,Nguyên liệu,Sơ chế,Thực hiện,Cách dùng,Mách nhỏ,Thực đơn,Lời khuyên
Sò huyết xào tỏi,"Rau muống cọng 100g, Hành tây  50g, Mỡ   50g, Ớt sừng cắt sợi    1 trái, Ớt hiểm đập dập 2 trái, Tỏi tép   5 tép, Tỏi băm  1M, Nước cốt chanh  1m, Muối, dầu hào, dầu ăn, Bột ngọt AJI-NO-MOTO®, Rau muống cọng 100g, Hành tây  50g, Mỡ   50g, Ớt sừng cắt sợi    1 trái, Ớt hiểm đập dập 2 trái, Tỏi tép   5 tép, Tỏi băm  1M, Nước cốt chanh  1m, Muối, dầu hào, dầu ăn, Bột ngọt AJI-NO-MOTO®",,,,"Trụng nhanh sò huyết để sò vừa chín tới, dễ bóc vỏ.",,
Vịt thấu,"Thịt ức vịt: 300gr, Khế xanh: 3 trái, Chuối chát: 2 trái, Chanh: 1 trái, Cà rốt: 1/2 củ, Gừng: 1 củ nhỏ, Hành tây: 1/2 củ, Bánh đa nướng, mè trắng rang, Ngò gai, chanh, ớt sừng, Sả bào, tỏi băm, ớt băm, Đường, nước mắm, tương ớt, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Thịt ức vịt: 300gr, Khế xanh: 3 trái, Chuối chát: 2 trái, Chanh: 1 trái, Cà rốt: 1/2 củ, Gừng: 1 củ nhỏ, Hành tây: 1/2 củ, Bánh đa nướng, mè trắng rang, Ngò gai, chanh, ớt sừng, Sả bào, tỏi băm, ớt băm, Đường, nước mắm, tương ớt, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto""",,,,Trộn gừng vào vịt giúp cân bằng tính hàn nhiệt và giúp ấm bụng.Dùng ngò gai với món vịt giúp món ăn thơm ngon hơn.,,
Phở trộn,"Sợi phở: 300g, Nấm đông cô tươi: 50g, Tôm bạc đất: 200g, Ớt chuông xanh, đỏ: 80g, Hành phi, tiêu, Hành tỏi băm, ớt băm, Mè trắng rang: 1m, RAU NÊM:	húng quế cắt rối, Gia vị: 	Dầu ăn, dầu hào, tương cà, tương ớt, dầu phi hành, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ"", Sợi phở: 300g, Nấm đông cô tươi: 50g, Tôm bạc đất: 200g, Ớt chuông xanh, đỏ: 80g, Hành phi, tiêu, Hành tỏi băm, ớt băm, Mè trắng rang: 1m, RAU NÊM:	húng quế cắt rối, Gia vị: 	Dầu ăn, dầu hào, tương cà, tương ớt, dầu phi hành, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ""",,,"Trút hỗn hợp xào lên dĩa phở, thêm húng quế, tiêu, hành phi, 1m mè trắng rang, thêm xốt trộn đều. Món ăn ngon đi kèm:Trà sữa trân châu đường đen","Pha hỗn hợp xốt trước khi nấu để gia vị quyện đều, sánh sệt, bám đều vào sợi phở.Áp chảo bánh phở giúp phở săn và có mùi thơm.",,
Dồi trường xào chua cay,"Dồi trường 400g, Thơm 1/4 trái, Hành tây 1/2 củ, Cần tây 2 nhánh, Dưa leo 1 trái, Gừng cắt quả trám 2M, Ớt sừng 1 trái, Ớt hiểm băm 1m, Hành tỏi băm, hành lá, Tiêu, đường, dầu hào, dầu ăn, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Nấm, Giấm gạo lên men ""Ajinomoto"", Dồi trường 400g, Thơm 1/4 trái, Hành tây 1/2 củ, Cần tây 2 nhánh, Dưa leo 1 trái, Gừng cắt quả trám 2M, Ớt sừng 1 trái, Ớt hiểm băm 1m, Hành tỏi băm, hành lá, Tiêu, đường, dầu hào, dầu ăn, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Nấm, Giấm gạo lên men ""Ajinomoto""",,"Đun nóng 2M dầu ăn, phi hành tỏi băm và gừng cho thơm, cho dồi trường vào xào săn với lửa lớn, cho dồi trường chín tới, cho tiếp thơm vào xào 1 phút, rồi thêm dưa leo, cần tây, hành tây, ớt sừng vào đảo nhanh tay và nêm thêm 1/2M nước tương “Phú Sĩ”. Rau củ vừa chín tới, nếm vị vừa ăn, tắt lửa và thêm hành ngò, tiêu.",Trình bày ra đĩa và chấm với nước tương Phú Sĩ và ớt cắt lát.,"Chọn dồi trường có màu sáng trắng, cỡ vừa, ruột đặc.Ướp giấm vào dồi trường giúp khử mùi tanh và tăng độ giòn.",,
Lẩu gà hầm sả,"Đùi gà góc tư      2 cái, Củ cải trắng     1 củ nhỏ, Sả cây cắt khúc 15cm   5 cây, Nấm rơm    100g, Nước nghệ tươi    1m, Ớt sa tế    1M, Gừng cắt sợi     1 củ nhỏ, Hành tím cắt lát     50g, Rau củ ăn kèm: mướp, rau mồng tơi, hành lá, Dầu ăn, muối, tiêu, đường, rượu trắng, Ăn kèm: bún, nước mắm, ớt cắt lát, Hạt nêm Aji-ngon® Heo, Đùi gà góc tư      2 cái, Củ cải trắng     1 củ nhỏ, Sả cây cắt khúc 15cm   5 cây, Nấm rơm    100g, Nước nghệ tươi    1m, Ớt sa tế    1M, Gừng cắt sợi     1 củ nhỏ, Hành tím cắt lát     50g, Rau củ ăn kèm: mướp, rau mồng tơi, hành lá, Dầu ăn, muối, tiêu, đường, rượu trắng, Ăn kèm: bún, nước mắm, ớt cắt lát, Hạt nêm Aji-ngon® Heo",,,"Khi ăn đun nóng nước lẩu, vớt bỏ phần sả cây, cho thêm mướp, mồng tơi, hành tùy thích. Dùng chung với bún, chấm thêm nước mắm ớt tùy vị.","Với món lẩu ngọt, nên chọn loại rau có vị ngọt để tăng vị ngon của món lẩu (Mồng tơi, mướp…).Ướp thịt gà với nước nghệ để thịt gà và nước lẩu có màu đẹp.",,
Cá hồi xốt trái cây,"Phi lê cá hồi  : 300g, Xoài : 1/3 trái, Táo : 1/3 trái, Lê  : 1/3 trái, Bơ lạt :  30g, Tương ớt  : 1M, Tiêu hạt, đường, hành tỏi băm, Trang trí: ô liu đen, rau mầm, Hạt nêm Aji-ngon® Heo, Gia vị nêm sẵn Aji-Quick® Bột chiên giòn, Phi lê cá hồi  : 300g, Xoài : 1/3 trái, Táo : 1/3 trái, Lê  : 1/3 trái, Bơ lạt :  30g, Tương ớt  : 1M, Tiêu hạt, đường, hành tỏi băm, Trang trí: ô liu đen, rau mầm, Hạt nêm Aji-ngon® Heo, Gia vị nêm sẵn Aji-Quick® Bột chiên giòn",,,,"Ướp cá với tiêu đen giã dập giúp thơm ngon và tạo điểm nhấn cho món ăn.Chiên cá với lửa lớn giúp cá chín mà vẫn giữ độ ngọt, không bị khô.",,
Sushi,"Tôm tươi: 100g, Cơm nấu từ gạo dẻo của Nhật: 3 chén, Cá ngừ ngâm dầu: 1 hộp, Dưa leo: 1 trái, Xà lách: 1 cây, Mè trắng rang: 1 ít, Cà rốt: 1 củ, Lá rong biển, đường, muối, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Nước tương ""Phú Sĩ"", Tôm tươi: 100g, Cơm nấu từ gạo dẻo của Nhật: 3 chén, Cá ngừ ngâm dầu: 1 hộp, Dưa leo: 1 trái, Xà lách: 1 cây, Mè trắng rang: 1 ít, Cà rốt: 1 củ, Lá rong biển, đường, muối, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Nước tương ""Phú Sĩ""",,,,"Có thể thay gạo Nhật bằng gạo dẻo, trước khi nấu ngâm gạo dẻo 30 phút để cơm dẻo mềm hơn.Có thể làm sushi nhân cua hay nhân cá ngừ đều rất ngon.Khi trải cơm lên lá rong biển nên dùng tay tán cho cơm trải đều và nén chặt",,
Canh tôm rau cần nước,"Tôm sú		 200g, Cà chua bi		 150g, Rau cần nước		 1 bó, Lòng trắng trứng gà ta		 1 quả, Mỡ nước		 2M, Giò sống		 50g, Hành tím		 3 củ, Hành lá		 1 ít, Gia vị: Tiêu sọ, muối, đường, nước mắm, mỡ nước, Hạt nêm Aji-ngon® Heo, Tôm sú		 200g, Cà chua bi		 150g, Rau cần nước		 1 bó, Lòng trắng trứng gà ta		 1 quả, Mỡ nước		 2M, Giò sống		 50g, Hành tím		 3 củ, Hành lá		 1 ít, Gia vị: Tiêu sọ, muối, đường, nước mắm, mỡ nước, Hạt nêm Aji-ngon® Heo",,,"Múc canh ra tô, cho thêm chút hành lá, tiêu.","Thêm lòng trắng trứng vào tôm khi quết giúp tạo độ kết dính và viên tôm không bị khô.Xào sơ cà chua với chất béo giúp hòa tan tiền vitamin A, cơ thể sẽ dễ hấp thụ vitamin và món ăn đẹp hơn.Chọn rau cần nước có phần cọng trắng nhiều thì sẽ non, có ít lá là rau cần ngon.",,
Canh gà lá quế,"Gà ta     1/2 con, Rau quế    100g, Hành tây   1 củ nhỏ, Hành lá    2 cây, Ớt hiểm xanh   10 trái, Ớt hiểm đỏ  5 trái, Dừa tươi   1 trái, Tỏi phi, ngò gai, sả băm , tỏi băm, ĂN KÈM: Bún tươi và nước mắm ớt., Gia vị: Dầu ăn, muối, đường, nước mắm, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Gà, Bột ngọt AJI-NO-MOTO®, Gà ta     1/2 con, Rau quế    100g, Hành tây   1 củ nhỏ, Hành lá    2 cây, Ớt hiểm xanh   10 trái, Ớt hiểm đỏ  5 trái, Dừa tươi   1 trái, Tỏi phi, ngò gai, sả băm , tỏi băm, ĂN KÈM: Bún tươi và nước mắm ớt., Gia vị: Dầu ăn, muối, đường, nước mắm, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Gà, Bột ngọt AJI-NO-MOTO®",,"Nấu canh: đun nóng dầu, cho 1M tỏi băm, 1M sả băm, ớt hiểm xanh, đỏ vào xào thơm rồi cho gà vào xào săn đến khi thịt sém vàng. Thêm hành tây vào xào nhanh tay, đổ nước dừa và 1 lít nước lọc vào nấu sôi, nêm 1m muối, 1m bột ngọt AJI-NO-MOTO®, 2M Giấm gạo lên men LISA®, vớt bọt nấu lửa nhỏ đến khi gà chín, cho rau quế và hành lá vào, tắt lửa, nêm thêm 2M nước mắm.","Múc canh ra tô, rắc ngò gai và tỏi phi lên trên, dùng kèm bún và nước mắm ớt.","Xào gà kỹ để thịt gà thấm vị, săn và ngon hơn.Nêm nước mắm vào sau cùng tạo vị đậm đà cho món ăn.",,
Lẩu thái cua đồng,"Cua xay (không nêm muối)  300g, Cà chua     2 quả, Tôm đất     200g, Mực ống    1 con, Đậu hũ bi chiên    100g, Bắp bò hoa    1 cái, Lá tàu hũ ky chiên giòn   1 lá, Hành tím băm, hành lá, ớt hiểm, ĂN KÈM: Bún, rau muống, rau cần nước, cải thảo, hoa chuối bào, Dầu ăn, nước mắm, đường, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Gia vị nêm sẵn Aji-Quick® Lẩu Thái, Cua xay (không nêm muối)  300g, Cà chua     2 quả, Tôm đất     200g, Mực ống    1 con, Đậu hũ bi chiên    100g, Bắp bò hoa    1 cái, Lá tàu hũ ky chiên giòn   1 lá, Hành tím băm, hành lá, ớt hiểm, ĂN KÈM: Bún, rau muống, rau cần nước, cải thảo, hoa chuối bào, Dầu ăn, nước mắm, đường, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Gia vị nêm sẵn Aji-Quick® Lẩu Thái",,"Phi thơm hành tím băm và ớt hiểm đập dập, cho cà chua cắt nhỏ vào xào sơ, đổ nước cua vào nấu sôi, giảm lửa, đợi riêu cua đóng lại trên mặt nước thì vớt riêu cua ra tô cho khỏi bị bể, thêm đậu hũ bi và cà chua cắt múi cau vào, nêm 1 gói Aji-Quick® Gia vị nêm sẵn Lẩu Thái, 1M Giấm gạo lên men của Ajinomoto, 1m bột ngọt AJI-NO-MOTO®, 1.5m đường, nấu sôi lại tắt bếp.","Múc nước lẩu ra nồi lẩu, khi ăn nhúng tôm, mực, bắp bò, táu hũ ki và các loại rau, ăn kèm với bún.",Hòa cua xay với nước từ từ để có thể lấy hết được thịt cua.Khi nước sôi cần giảm lửa để riêu cua không bị vỡ nát.,,
Vịt nấu ragu,"Thịt vịt 1/2 con: 1,5 kg, Dừa tươi: 1 trái, Bắp mỹ: 1/2 trái, Sả: 5 cây, Tỏi băm: 1M, Nụ đinh hương: 2 nụ, Quế chi: 1 miếng nhỏ, Cà rốt: 200g, Cà chua tán: 2,5M, Hành tây bi: 150g, Hành tây băm: 1M, RAU NÊM:	ngò, ĂN KÈM:	bánh mì, Gia vị: muối, đường, dầu ăn, bột năng, hành tím băm, tỏi băm, hành tây băm, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Thịt vịt 1/2 con: 1,5 kg, Dừa tươi: 1 trái, Bắp mỹ: 1/2 trái, Sả: 5 cây, Tỏi băm: 1M, Nụ đinh hương: 2 nụ, Quế chi: 1 miếng nhỏ, Cà rốt: 200g, Cà chua tán: 2,5M, Hành tây bi: 150g, Hành tây băm: 1M, RAU NÊM:	ngò, ĂN KÈM:	bánh mì, Gia vị: muối, đường, dầu ăn, bột năng, hành tím băm, tỏi băm, hành tây băm, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo",,,Cho thịt ra tô sau đó trang trí thêm ngò và ăn kèm cùng bánh mì. Món ăn đi kèm:Salad tôm thanh mát,✅ Phi thơm tỏi cùng với dầu trước khi xào thịt giúp tăng thêm mùi thơm cho món ăn.✅ Cho đinh hương và quế chi vào xào cùng cà chua tán giúp tăng mùi thơm cho món ăn.✅ Áp chảo phần da vịt trước khi ướp để khử mùi cho vịt.,,
Đà điểu lúc lắc,"Đà điểu: 250g, Ớt chuông xanh: 1/3 củ, Ớt chuông đỏ: 1/3 củ, Ớt chuông vàng: 1/3 củ, Hành tây: 1/2 củ, Hành tím và ỏi băm, Tiêu, đường, muối, dầu ăn, Hạt nêm Aji-ngon® Gà, Đà điểu: 250g, Ớt chuông xanh: 1/3 củ, Ớt chuông đỏ: 1/3 củ, Ớt chuông vàng: 1/3 củ, Hành tây: 1/2 củ, Hành tím và ỏi băm, Tiêu, đường, muối, dầu ăn, Hạt nêm Aji-ngon® Gà",,,,Chọn thịt phi lê đà điểu sẽ mềm và phù hợp với món lúc lắc.Xào đà điểu trên lửa to và xốc chảo đều tay để thịt chín đều và mềm ngon.,,
Giò hoa rong biển,"Giò sống                               200g, Lá rong biển                          1 lá, Da heo                                  1 miếng 20x20cm, Lòng đỏ trứng muối               3 cái (lấy lòng đỏ sống), Cà rốt cắt thanh 0.8cm    1/2 củ, Đậu cô ve Nhật                      100g, Bí ngòi vàng cắt thanh            1 trái, Bột năng                                1M, Tiêu sọ hạt, đường, nước mắm, Ăn kèm: củ kiệu chua, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Heo, Giò sống                               200g, Lá rong biển                          1 lá, Da heo                                  1 miếng 20x20cm, Lòng đỏ trứng muối               3 cái (lấy lòng đỏ sống), Cà rốt cắt thanh 0.8cm    1/2 củ, Đậu cô ve Nhật                      100g, Bí ngòi vàng cắt thanh            1 trái, Bột năng                                1M, Tiêu sọ hạt, đường, nước mắm, Ăn kèm: củ kiệu chua, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Heo",,,,Cho tiêu hạt giã bể rang vào giò sống để khi ăn cảm nhận được độ cay nồng của tiêu.,,
Canh hào thanh mát,"Hào sữa thịt      100g, Củ cải trắng       100g, Bí ngòi vàng      100g, Cà rốt                100g, Nấm kim châm  50g, Gừng cắt lát mỏng đập dập    5 lát, Muối, đường, tiêu, ớt bột parika, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Gà, Hào sữa thịt      100g, Củ cải trắng       100g, Bí ngòi vàng      100g, Cà rốt                100g, Nấm kim châm  50g, Gừng cắt lát mỏng đập dập    5 lát, Muối, đường, tiêu, ớt bột parika, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Gà",,"Đun sôi 1.2 lít nước với 5 lát gừng, rồi cho củ cải trắng, cà rốt vào nấu chín, cho bí ngòi vào. Sau đó cho hàu sữa vànấm kim châmvào, nêm 1/2M hạt nêm Aji-ngon® , 1/2m muối, 1/2M bột ngọt AJI-NO-MOTO®, 1/3m đường, 1/2M nước mắm, nếm vị vừa ăn. Đun sôi lại, cuối cùng cho hành lá vào tắt lửa.","Chocanhra tô, dùng nóng với cơm trắng.",Ướp hào với bột ớt để tăng hương vị và khử mùi tanh.Cho các nguyên liệu vào theo thứ tự để các nguyên liệu chín đồng đều.,,
Bắp non xào mực cay,"Mực ống: 350g, Bắp non: 300g, Cà rốt: ½ củ, Hành lá: 2 nhánh, Ớt sừng cắt quả trám: 1 trái, Ớt hiểm: 2 trái, Ớt sừng băm: 1M, Gừng băm: 1M, Sa tế: 1M, Tương ớt: 1M, Muối, nước mắm, dầu ăn, hành tỏi băm, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Mực ống: 350g, Bắp non: 300g, Cà rốt: ½ củ, Hành lá: 2 nhánh, Ớt sừng cắt quả trám: 1 trái, Ớt hiểm: 2 trái, Ớt sừng băm: 1M, Gừng băm: 1M, Sa tế: 1M, Tương ớt: 1M, Muối, nước mắm, dầu ăn, hành tỏi băm, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo",,,,Chần sơ bắp non và cà rốt giúp rút ngắn thời gian xào và nguyên liệu giữ màu tươi hơn.Xào mực lửa lớn để mực không bị dai và không ra nước.,,
Cua xào cay,"Cua thịt    500g (~ 2 con), Củ cải trắng    1/2 củ, Bí ngòi vàng    1 quả, Hành tây    1/2 củ, Hành boaro    1/2 cây, Ớt sừng     1 trái, Ớt hiểm    1 trái, Tỏi băm    1M, RAU NÊM: Húng quế, ĂN KÈM: Cơm trắng, Đường, muối, ớt bột Hàn Quốc, nước mắm, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Cua thịt    500g (~ 2 con), Củ cải trắng    1/2 củ, Bí ngòi vàng    1 quả, Hành tây    1/2 củ, Hành boaro    1/2 cây, Ớt sừng     1 trái, Ớt hiểm    1 trái, Tỏi băm    1M, RAU NÊM: Húng quế, ĂN KÈM: Cơm trắng, Đường, muối, ớt bột Hàn Quốc, nước mắm, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®",,,"Cho món ăn ra tô, ăn kèm với cơm nóng hoặc bánh mì.",Cho nước vào từ từ trong lúc xào để thịt cua săn và không bị bở.Lá húng quế tạo hương vị mới lạ cho món ăn.,,
Sò lông xào chua ngọt,"Sò lông    1kg, Cà chua    1 quả, Hành tây    1 củ, Thơm    1/4 miếng, Rau quế     10g, Nấm linh chi nâu   1 gói, Dưa leo    1 quả, Nước bột năng   2M, Hành lá     2 cây, Hành tỏi băm, ớt băm, Đường, muối, nước mắm, dầu ăn, Tương cà, tương ớt, tương xí muội, sa tế, Giấm gạo lên men ""Ajinomoto"", Bột ngọt AJI-NO-MOTO®, Sò lông    1kg, Cà chua    1 quả, Hành tây    1 củ, Thơm    1/4 miếng, Rau quế     10g, Nấm linh chi nâu   1 gói, Dưa leo    1 quả, Nước bột năng   2M, Hành lá     2 cây, Hành tỏi băm, ớt băm, Đường, muối, nước mắm, dầu ăn, Tương cà, tương ớt, tương xí muội, sa tế, Giấm gạo lên men ""Ajinomoto"", Bột ngọt AJI-NO-MOTO®",,,,Luộc sò lông vừa chín tới để sò không bị dai.Bỏ ruột cà chua để khi xào cà không bị ra nước.,,
Canh măng gà viên,"Thịt gà băm (phần thịt đùi): 200g, Măng vàng luộc: 200g, Giò sống: 50g, Lòng đỏ trứng gà: 1 cái, Hành tây: 1/2 củ, Hành lá: 2 cọng, Ngò rí: 2 cây, Đường, muối, tiêu, Dầu ăn, nước mắm, dầu mè, Hạt nêm Aji-ngon® Gà, Thịt gà băm (phần thịt đùi): 200g, Măng vàng luộc: 200g, Giò sống: 50g, Lòng đỏ trứng gà: 1 cái, Hành tây: 1/2 củ, Hành lá: 2 cọng, Ngò rí: 2 cây, Đường, muối, tiêu, Dầu ăn, nước mắm, dầu mè, Hạt nêm Aji-ngon® Gà",,,,"Dùng nóng với cơm, nước mắm và ớt cắt lát.",,
Hàu vọng nguyệt,"Hàu sữa sống: 1kg, Trứng cút: 5 quả, Thì là: 2 cây, Mù tạc xanh: 1m, Phô mai bột: 1M, Tỏi băm, ớt băm, Muối, tiêu, chanh, Xốt Mayonnaise LISA, Bột ngọt AJI-NO-MOTO®, Hàu sữa sống: 1kg, Trứng cút: 5 quả, Thì là: 2 cây, Mù tạc xanh: 1m, Phô mai bột: 1M, Tỏi băm, ớt băm, Muối, tiêu, chanh, Xốt Mayonnaise LISA, Bột ngọt AJI-NO-MOTO®",,,,"Ngâm hàu trong nước vài giờ để hàu nhả sạch cát. Nên chọn hàu sữa có thịt tròn, màu trắng như sữa.",,
Salad thịt hun khói trứng cút,"Salad iceberg:   1 cây, Salad lolo tím:   1 cây, Củ Radish:   100g, Cà chua bi:   50g, Thịt ba chỉ hun khói:  200g, Ngò tây băm nhỏ, Bánh mì sandwich lạt:  2 lát, Trứng cút luộc:   12 quả, Chanh vàng:  1 trái, Gia vị: muối, dầu olive, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Salad iceberg:   1 cây, Salad lolo tím:   1 cây, Củ Radish:   100g, Cà chua bi:   50g, Thịt ba chỉ hun khói:  200g, Ngò tây băm nhỏ, Bánh mì sandwich lạt:  2 lát, Trứng cút luộc:   12 quả, Chanh vàng:  1 trái, Gia vị: muối, dầu olive, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,,"Chọn xà lách iceberg giúp món ăn có độ giòn ngọt đặc trưngChọn thịt ba chỉ xông khói có lẫn mỡ giúp sau khi áp chảo có mùi thơm đặc trưng, phù hợp món ăn.Để sandwich để ngoài gió cho có độ khô trước khi rang giúp crouton cứng và giòn hơn.",,
Canh dền cơm nấu nghêu,"Thịt nghêu: 150g, Rau dền cơm: 300g, Mướp khía: 1 trái, Hành lá: 3 nhánh, Hành, tỏi băm, Nước mắm, dầu ăn, đường, tiêu, Hạt nêm Aji-ngon® Gà, Thịt nghêu: 150g, Rau dền cơm: 300g, Mướp khía: 1 trái, Hành lá: 3 nhánh, Hành, tỏi băm, Nước mắm, dầu ăn, đường, tiêu, Hạt nêm Aji-ngon® Gà",,,,Xào nghêu nhanh tay và trút ra không nấu chung với các nguyên liệu khác để nghêu không dai và không bị tanh.Bỏ bông dền cơm để canh không có vị nhân nhẫn.,,
Lẩu mẻ cá chẽm,"Cá chẽm phi lê: 500g, Húng quế: 100g, Bắp chuối bào: 100g, Bún tươi: 1kg, Ngò gai, hành lá: 5 lá, Dừa xiêm: 1 trái, Hành tây: 1/2củ, Ớt sừng: 1 trái, Nước dùng: 1,5l, Cơm mẻ: 1 chén, Muối, tiêu, đường, nước mắm, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Cá chẽm phi lê: 500g, Húng quế: 100g, Bắp chuối bào: 100g, Bún tươi: 1kg, Ngò gai, hành lá: 5 lá, Dừa xiêm: 1 trái, Hành tây: 1/2củ, Ớt sừng: 1 trái, Nước dùng: 1,5l, Cơm mẻ: 1 chén, Muối, tiêu, đường, nước mắm, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,"Đun sôi nước dùng và nước dừa xiêm, nêm 5M mẻ, 1/2M Giấm gạo lên men LISA®, 1/2M đường, 1/2M bột ngọt AJI-NO-MOTO®, 1m muối và 1M nước mắm và 1m hạt nêm Aji-ngon®.","Trước khi ăn cho đầu hành phi, hành tây, rau quế, ngò gai, ớt sừng vào nồi lẩu. Ăn tới đâu nhúng cá và bắp chuối tới đó. Dùng chung với bún và nước mắm mặn.","Chọn cá mắt sáng trong, mang màu đỏ, vẩy khít và sáng lấp lánh.Cắt cá xong nên giữ cá trong ngăn mát tủ lạnh để thịt cá tươi.Dùng nước dừa xiêm nấu lẩu, món lẩu sẽ có vị ngọt thanh",,
Cơm sen cốm,"Hạt sen tươi: 50g, Đậu bi: 30g, Cà rốt: 30g, Thit nguội chay: 30g, Cốm xanh: 30g, Hành boaro: 30g, Cơm nguội: 2 chén, Nấm hương khô: 3 tai, Hoa sen: 2 cái, Muối, tiêu, đường, Dầu ăn, ngò rí, ớt, Nước tương LISA, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Hạt sen tươi: 50g, Đậu bi: 30g, Cà rốt: 30g, Thit nguội chay: 30g, Cốm xanh: 30g, Hành boaro: 30g, Cơm nguội: 2 chén, Nấm hương khô: 3 tai, Hoa sen: 2 cái, Muối, tiêu, đường, Dầu ăn, ngò rí, ớt, Nước tương LISA, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto""",,,,Trộn cơm trước với gia vị đã hòa tan trong nước giúp cơm khi chiên sẽ mềm và gia vị thấm đều hơn.Nấu cơm với nước dừa hoặc nước dùng giúp cơm ngọt và ngon hơn.,,
Ba chỉ chiên riềng mẻ,"Thịt ba chỉ đầu giòn: 400 g (Chọn da  mỏng), Củ riềng: 100 g (1/2 cắt sợi nhỏ, 1/2 vắt nước cốt), Cơm mẻ: 1 M (Chọn mẻ thơm có vị chua vừa, màu trắng), Ớt sừng cắt sợi: 2 trái, Cải xoong loại nhỏ: 100g, Cà bi vàng và đỏ: 50 g, Nước cốt chanh: 1M, Ớt băm, Gia vị: Nước mắm, đường, tỏi băm, dầu ăn, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Thịt ba chỉ đầu giòn: 400 g (Chọn da  mỏng), Củ riềng: 100 g (1/2 cắt sợi nhỏ, 1/2 vắt nước cốt), Cơm mẻ: 1 M (Chọn mẻ thơm có vị chua vừa, màu trắng), Ớt sừng cắt sợi: 2 trái, Cải xoong loại nhỏ: 100g, Cà bi vàng và đỏ: 50 g, Nước cốt chanh: 1M, Ớt băm, Gia vị: Nước mắm, đường, tỏi băm, dầu ăn, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn",Ướp thịt:,"Chiên:Tẩm ít bột Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn qua riềng sợi, chiên cho vàng giòn. Tẩm Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn vào thịt, chiên chín giòn. Vớt ra để lên giấy thấm dầu.","Bày thịt ra dĩa, rắc ớt sợi, riềng đã chiên. Bày thêm cải xoong, cà bi và nước mắm pha: 1M đường, 1M nước mắm, 1M nước cốt chanh, tỏi ớt băm. Món ăn ngon đi kèm:Canh cá rô bông súng","Chần thịt trước khi tẩm bột chiên giúp thịt chín đều và không bị khô khi chiên.Chọn cơm mẻ ngon: Chọn mẻ thơm có vị chua vừa, màu trắng.Áo một lớp gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn vào riềng để riềng giòn và thơm hơn.",,
